day: 0, date: 2009-03-04, price: 1.2633, Account Balance: 10000, in play: 0, total: 10000
day: 139, date: 2009-07-21, price: 1.41972, Account Balance: 9165.450815242926, in play: 832.7993762086887, total: 9998.250191451614
day: 140, date: 2009-07-22, price: 1.42008, Account Balance: 9027.969053014282, in play: 970.527173718823, total: 9998.496226733105
day: 141, date: 2009-07-23, price: 1.41609, Account Balance: 8892.549517219068, in play: 1102.8393300910745, total: 9995.388847310142
day: 142, date: 2009-07-24, price: 1.42006, Account Balance: 8759.161274460781, in play: 1239.6933295909598, total: 9998.854604051741
day: 143, date: 2009-07-25, price: 1.42006, Account Balance: 8627.773855343868, in play: 1371.0807487078714, total: 9998.85460405174
day: 144, date: 2009-07-26, price: 1.41913, Account Balance: 8498.35724751371, in play: 1499.5146779599554, total: 9997.871925473664
day: 145, date: 2009-07-27, price: 1.4244, Account Balance: 8370.881888801005, in play: 1633.031933816168, total: 10003.913822617173
day: 146, date: 2009-07-28, price: 1.41451, Account Balance: 8644.50131637353, in play: 1341.4381587750863, total: 9985.939475148616
day: 147, date: 2009-07-29, price: 1.40137, Account Balance: 8514.833796627927, in play: 1457.4399365918503, total: 9972.273733219778
day: 148, date: 2009-07-30, price: 1.40831, Account Balance: 9443.946615882454, in play: 552.1989820610899, total: 9996.145597943545
day: 149, date: 2009-07-31, price: 1.42555, Account Balance: 9302.287416644218, in play: 702.3521315273308, total: 10004.639548171548
day: 150, date: 2009-08-01, price: 1.42555, Account Balance: 9448.099007161085, in play: 556.540541010464, total: 10004.639548171548
day: 151, date: 2009-08-02, price: 1.42873, Account Balance: 9306.377522053668, in play: 699.819651766265, total: 10006.197173819934
day: 152, date: 2009-08-03, price: 1.44065, Account Balance: 9571.064039303103, in play: 435.59463404252654, total: 10006.65867334563
day: 153, date: 2009-08-04, price: 1.44147, Account Balance: 9705.83540206908, in play: 294.940647068931, total: 10000.776049138012
day: 154, date: 2009-08-05, price: 1.4408, Account Balance: 9560.247871038044, in play: 440.3234191529708, total: 10000.571290191014
day: 155, date: 2009-08-06, price: 1.43683, Account Balance: 9416.844152972473, in play: 582.1187274914748, total: 9998.962880463949
day: 156, date: 2009-08-07, price: 1.41804, Account Balance: 9275.591490677885, in play: 713.9115730964883, total: 9989.503063774373
day: 157, date: 2009-08-08, price: 1.41804, Account Balance: 9697.168742076787, in play: 292.33432169758873, total: 9989.503063774375
day: 158, date: 2009-08-09, price: 1.41917, Account Balance: 9551.711210945636, in play: 438.1407180185071, total: 9989.851928964143
day: 159, date: 2009-08-10, price: 1.41289, Account Balance: 9408.435542781452, in play: 578.843547900296, total: 9987.279090681748
day: 160, date: 2009-08-11, price: 1.41507, Account Balance: 9412.466652923513, in play: 578.9361665951667, total: 9991.40281951868
day: 161, date: 2009-08-12, price: 1.42157, Account Balance: 9271.27965312966, in play: 723.4309890278491, total: 9994.71064215751
day: 162, date: 2009-08-13, price: 1.42718, Account Balance: 9132.210458332716, in play: 865.9039036776727, total: 9998.114362010389
day: 163, date: 2009-08-14, price: 1.42011, Account Balance: 9134.98633288387, in play: 855.9671789975396, total: 9990.95351188141
day: 164, date: 2009-08-15, price: 1.42011, Account Balance: 8997.961537890611, in play: 992.9919739907976, total: 9990.95351188141
day: 165, date: 2009-08-16, price: 1.41677, Account Balance: 8862.992114822251, in play: 1125.308510264347, total: 9988.300625086598
day: 166, date: 2009-08-17, price: 1.41055, Account Balance: 8730.047233099918, in play: 1252.729322378941, total: 9982.77655547886
day: 167, date: 2009-08-18, price: 1.41271, Account Balance: 8734.524658810555, in play: 1250.1633667309063, total: 9984.688025541462
day: 168, date: 2009-08-19, price: 1.42475, Account Balance: 8603.506788928396, in play: 1392.9525287316317, total: 9996.459317660028
day: 169, date: 2009-08-20, price: 1.42532, Account Balance: 8606.791013236476, in play: 1390.2242692830168, total: 9997.015282519493
day: 170, date: 2009-08-21, price: 1.43247, Account Balance: 8477.689148037929, in play: 1526.947708487081, total: 10004.63685652501
day: 171, date: 2009-08-22, price: 1.43247, Account Balance: 9039.897927393336, in play: 958.3064419178999, total: 9998.204369311235
day: 172, date: 2009-08-23, price: 1.43381, Account Balance: 8904.299458482436, in play: 1094.9282010760726, total: 9999.227659558508
day: 173, date: 2009-08-24, price: 1.4288, Account Balance: 8910.405654115182, in play: 1082.0717551334733, total: 9992.477409248655
day: 174, date: 2009-08-25, price: 1.42862, Account Balance: 8776.749569303454, in play: 1215.5746827425198, total: 9992.324252045973
day: 175, date: 2009-08-26, price: 1.42332, Account Balance: 8645.098325763902, in play: 1342.227888028866, total: 9987.326213792767
day: 176, date: 2009-08-27, price: 1.43704, Account Balance: 8515.421850877443, in play: 1486.0926887023568, total: 10001.514539579799
day: 177, date: 2009-08-28, price: 1.43013, Account Balance: 8794.291258582807, in play: 1198.4061129825889, total: 9992.697371565397
day: 178, date: 2009-08-29, price: 1.43013, Account Balance: 8662.376889704065, in play: 1330.320481861331, total: 9992.697371565395
day: 179, date: 2009-08-30, price: 1.43039, Account Balance: 8532.441236358503, in play: 1460.5216121881133, total: 9992.962848546616
day: 180, date: 2009-08-31, price: 1.43349, Account Balance: 8404.454617813126, in play: 1591.950911062124, total: 9996.40552887525
day: 181, date: 2009-09-01, price: 1.4206, Account Balance: 8278.38779854593, in play: 1702.5692454818895, total: 9980.957044027818
day: 182, date: 2009-09-02, price: 1.4269, Account Balance: 8287.635474913697, in play: 1703.908821087925, total: 9991.544296001623
day: 183, date: 2009-09-03, price: 1.42557, Account Balance: 8163.320942789992, in play: 1826.5192835082375, total: 9989.840226298229
day: 184, date: 2009-09-04, price: 1.42928, Account Balance: 8040.871128648142, in play: 1954.0412269403232, total: 9994.912355588465
day: 185, date: 2009-09-05, price: 1.42928, Account Balance: 7920.25806171842, in play: 2074.6542938700454, total: 9994.912355588465
